Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
Pet Name;Street Address;City;State;Postal Code;Age;Vaccitiantion;Gender;Breed;Email;Shelter/Rescue Name;Adoption Fee;Telephone;Image URL;Access URL
Fluffy Felix;;Dartmouth;NS;;Adult;Vaccinations up to date, spayed / neutered.;Male;Domestic Long Hair;katsonya@accesswave.ca;Healing Animal SCARS - Sonya's Cat & Animal Rescue Society;$275.00;(902) 469-6369;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/73147859/1/?bust=1732785293&width=300;Click Here
Gladys and Vernon Presley;;Dartmouth;NS;;Young;Vaccinations up to date, spayed / neutered.;Female;Domestic Long Hair;katsonya@accesswave.ca;Healing Animal SCARS - Sonya's Cat & Animal Rescue Society;$600.00;(902) 469-6369;https://dbw3zep4prcju.cloudfront.net/animal/72aac0d2-49f5-4e3a-ba08-cb9829b10d5a/image/8787b1f8-a86a-43f4-a915-d41ffabc371e.jpg?versionId=6ZGd75qLw4M7B9pUoG7m_76cW15u9zvI&bust=1732648617&width=300;Click Here
Ashtom;;Dartmouth;NS;;Adult;Vaccinations up to date, spayed / neutered.;Male;Domestic Short Hair;katsonya@accesswave.ca;Healing Animal SCARS - Sonya's Cat & Animal Rescue Society;$275.00;(902) 469-6369;https://dbw3zep4prcju.cloudfront.net/animal/03671cb7-13b8-4b83-a035-060a06b13b5e/image/46c38f85-cd64-4ebb-8a78-40bb32edc5a8.jpg?versionId=DnFnzJsNQH8lXmDNeXJV8kLxPeOoeg5D&bust=1732647207&width=300;Click Here
Emily Lickinson;;Dartmouth;NS;;Young;Vaccinations up to date, spayed / neutered.;Female;Domestic Short Hair;katsonya@accesswave.ca;Healing Animal SCARS - Sonya's Cat & Animal Rescue Society;$350.00;(902) 469-6369;https://dbw3zep4prcju.cloudfront.net/animal/00ac39c6-384f-47e3-8243-dff999c1978e/image/0d129fda-aaa8-48f9-9c45-45febb5fc9d7.jpg?versionId=roMrWJtV2FF8_GxjKV7x8s2putxKjXy6&bust=1732429169&width=300;Click Here
Polly;;Halifax;NS;;Young;Vaccinations up to date, spayed / neutered.;Female;Domestic Short Hair;hcrs_adoption@outlook.com;Halifax Cat Rescue Society;$180.00;;https://dbw3zep4prcju.cloudfront.net/animal/eee70bfd-c867-441f-bd8c-705e84099183/image/7dfbaf5d-b83b-4d8f-8d2e-e3061f886bda.jpg?versionId=hCTWj_LOaHKilPgZhCTLnOiUeW9zzR.W&bust=1732229969&width=300;Click Here
Appalatia;;Halifax;NS;;Young;Vaccinations up to date, spayed / neutered.;Female;Domestic Medium Hair;hcrs_adoption@outlook.com;Halifax Cat Rescue Society;$180.00;;https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/73147859/1/?bust=1732785293&width=300;Click Here
Andes;;Halifax;NS;;Young;Vaccinations up to date, spayed / neutered.;Female;Domestic Short Hair;hcrs_adoption@outlook.com;Halifax Cat Rescue Society;$160.00;;https://dbw3zep4prcju.cloudfront.net/animal/72aac0d2-49f5-4e3a-ba08-cb9829b10d5a/image/8787b1f8-a86a-43f4-a915-d41ffabc371e.jpg?versionId=6ZGd75qLw4M7B9pUoG7m_76cW15u9zvI&bust=1732648617&width=300;Click Here
Cypress;;Halifax;NS;;Young;Vaccinations up to date, spayed / neutered.;Male;Domestic Short Hair;hcrs_adoption@outlook.com;Halifax Cat Rescue Society;$160.00;;https://dbw3zep4prcju.cloudfront.net/animal/03671cb7-13b8-4b83-a035-060a06b13b5e/image/46c38f85-cd64-4ebb-8a78-40bb32edc5a8.jpg?versionId=DnFnzJsNQH8lXmDNeXJV8kLxPeOoeg5D&bust=1732647207&width=300;Click Here
Posey;;Halifax;NS;;Young;Vaccinations up to date, spayed / neutered.;Female;Domestic Short Hair;hcrs_adoption@outlook.com;Halifax Cat Rescue Society;$160.00;;https://dbw3zep4prcju.cloudfront.net/animal/00ac39c6-384f-47e3-8243-dff999c1978e/image/0d129fda-aaa8-48f9-9c45-45febb5fc9d7.jpg?versionId=roMrWJtV2FF8_GxjKV7x8s2putxKjXy6&bust=1732429169&width=300;Click Here
