Dog Scraped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
NAME,Street Address,City,State,Postal Code,Age,Breed,Email,Telephone,Image URL,Access URL
,"
Los Angeles, CA ","Los Angeles,",CA,90210,Senior,Poodle & Terrier Mix,kittydevorerescue@yahoo.com, 310-726-3731,https://dbw3zep4prcju.cloudfront.net/animal/e3bfb02c-90d3-4033-b2e9-b87fe4a1ed69/image/715ffc0b-444b-411c-8840-110e7448b2c0.jpeg?versionId=27ue9nQbGbxVsbswQxCRZODuK3Ig4v9l&bust=1730146426&width=300,Click Here
,"
Los Angeles, CA ","Los Angeles,",CA,90210,Young,Pug & Poodle Mix,kittydevorerescue@yahoo.com, 310-726-3731,https://dbw3zep4prcju.cloudfront.net/animal/b6029bc2-85d8-486a-9e40-8ca171d736f8/image/1e4f9954-c4d9-4495-a771-376b40453e4d.jpg?versionId=deZ319A3P3ExtJM7Z6TcJzbKEcFbVjlM&bust=1732161950&width=300,Click Here
Lizzy,"
Los Angeles, CA ","Los Angeles,",CA,90210,Puppy,Terrier Mix,lindaelee@hotmail.com, 310-726-3731,https://dbw3zep4prcju.cloudfront.net/animal/0927f816-53d2-4aaf-9237-0f285efba5ec/image/42d75fb3-4333-4bce-aa26-f766f74c1a4f.jpeg?versionId=RUktxtPXp5vjbiTkIWtz5GKKk9wG7ac_&bust=1732076995&width=300,Click Here
Autumn,"
Los Angeles, CA ","Los Angeles,",CA,90210,Puppy,Terrier Mix,lindaelee@hotmail.com, 310-726-3731,https://dbw3zep4prcju.cloudfront.net/animal/db93aafa-b912-4c0a-9e36-a23bfe232d9f/image/7b14a6ab-2acf-460f-9e37-5dc192043f03.jpeg?versionId=B8P0zh2pmeQy8TbeYZ7VeSfUbitkyt9A&bust=1732076882&width=300,Click Here
Cookie,"
Los Angeles, CA ","Los Angeles,",CA,90210,Young,Pit Bull Terrier,info@thecatsmeowanimalrescue.org, 310-726-3731,https://dbw3zep4prcju.cloudfront.net/animal/47b63670-26b8-4243-bfd3-e58ebd7ee4e8/image/679179ac-e896-4c29-82b4-02e884a4d43a.jpeg?versionId=0BGhvhruvCCvxGIBR3CMOgCDqQhgb1X7&bust=1732076753&width=300,Click Here
Buster,"
Los Angeles, CA ","Los Angeles,",CA,90210,Young,Belgian Shepherd / Malinois Mix,info@thecatsmeowanimalrescue.org, 310-726-3731,https://dbw3zep4prcju.cloudfront.net/animal/4819d0a3-4866-43f7-a1f9-067af0785854/image/85478208-4362-4602-a62a-bde6e7bd0322.jpeg?versionId=Bfo9iY.QoKCmRwhWh5ulgAQS7jUsBYwp&bust=1732076640&width=300,Click Here
Abby,"
Los Angeles, CA ","Los Angeles,",CA,90210,Adult,Terrier,idonotownacat@gmail.com, 310-726-3731,https://dbw3zep4prcju.cloudfront.net/animal/e3bfb02c-90d3-4033-b2e9-b87fe4a1ed69/image/715ffc0b-444b-411c-8840-110e7448b2c0.jpeg?versionId=27ue9nQbGbxVsbswQxCRZODuK3Ig4v9l&bust=1730146426&width=300,Click Here
Indigo (Indie),,,,,Adult,Pit Bull Terrier Mix,idonotownacat@gmail.com, (661) 565-1095,https://dbw3zep4prcju.cloudfront.net/animal/9a7f30a5-7aee-40f6-96b2-d9337738bb51/image/4c7b90d6-e6cd-47aa-938e-b067c37ca2e8.jpeg?versionId=ch.PzL7abidNHDlto6quQ_l03piSBUwO&bust=1730146097&width=300,Click Here
Zucchini,,,,,Adult,Maltipoo Mix,idonotownacat@gmail.com, (714) 817-9798,https://dbw3zep4prcju.cloudfront.net/animal/41574cca-8eb1-45d8-a399-7df26ac77a84/image/06726041-e509-45bb-80a4-34f7428c072b.jpeg?versionId=pPb53U19aAllihyC3rI6klgQzYgfXJ1P&bust=1717574280&width=300,Click Here
Colt,,,,,Puppy,Chihuahua & Terrier Mix,idonotownacat@gmail.com, (714) 817-9798,https://dbw3zep4prcju.cloudfront.net/animal/fc046c00-b827-47ea-a11d-a510707e6a20/image/2a59f101-3b96-4f0e-9f9d-38193eed25f7.jpg?versionId=j.qJt5Q60T10kGiYmu2RAhTmuY3LVnhB&bust=1731052907&width=300,Click Here
PawPaw,,,,,Adult,Poodle Mix,idonotownacat@gmail.com, (714) 817-9798,https://dbw3zep4prcju.cloudfront.net/animal/3c422d8c-70d9-4f6a-9e69-e17fececca60/image/5f5d5237-2d5f-4225-b9e7-e34f17156010.jpg?versionId=L98wJHNWxNnCLGSc57adYOOCT56p0wUD&bust=1732518772&width=300,Click Here
Luna,,,,,Adult,Schnauzer Mix,idonotownacat@gmail.com, (714) 817-9798,https://dbw3zep4prcju.cloudfront.net/animal/c999474a-35bb-405d-adbd-8ee5c316f8bb/image/8f169274-17be-49df-8766-51e6bfb3cbdf.jpg?versionId=YvH1P5jnU3zPHIFiUNWMg_s9mVA5DQJA&bust=1732685826&width=300,Click Here
Buster,999 Main street,"Los Angeles,",CA,90067,Adult,Pit Bull Terrier,idonotownacat@gmail.com, 206-524-3066,https://dbw3zep4prcju.cloudfront.net/animal/6007abef-44c5-4f78-91b9-de4657ae3229/image/740942b0-2ffb-47cd-a386-58b35ab3ce00.jpg?versionId=a_qefqBSE8CcnseZpeU9mlpE8sq1wP0T&bust=1731164898&width=300,Click Here
Abby,999 Main street,"Los Angeles,",CA,90067,Adult,American Staffordshire Terrier,idonotownacat@gmail.com, 916-296-5195,https://dbw3zep4prcju.cloudfront.net/animal/d71203fd-8b4a-4d17-b3ed-76d1062e93a1/image/4d8304a4-0664-41a7-aaf3-78723a3c450c.jpeg?versionId=OTYSd6nNvHnQBZ.ilTdzujeZ7F9up0iW&bust=1731085389&width=300,Click Here
Indigo (Indie),,,,,Adult,Mastiff & American Bulldog Mix,idonotownacat@gmail.com, (510) 463-4277,https://dbw3zep4prcju.cloudfront.net/animal/b6a74748-bf6d-49f8-a5fb-9905feaf31e7/image/05972e86-cbfd-4068-bb96-990d3937b758.jpeg?versionId=4FjwI5g7VGksXI3qoK9AbFCjGyZK9Cne&bust=1731017628&width=300,Click Here
Zucchini,,,,,Adult,Mountain Dog,idonotownacat@gmail.com, (510) 463-4277,https://dbw3zep4prcju.cloudfront.net/animal/c1c48d6d-716f-4d1b-a0c7-8e373fef8ac5/image/76d542ac-0ae8-4bc5-853d-2cca56b942f0.jpeg?versionId=y.hOe9HuiI2mNUuonyi4Dd7jXWG1Hpw6&bust=1731015589&width=300,Click Here
Colt,,,,,Adult,Staffordshire Bull Terrier Mix,idonotownacat@gmail.com, (510) 463-4277,https://dbw3zep4prcju.cloudfront.net/animal/3ebfa037-ded7-4aba-8691-18679438625c/image/3a13bc00-891e-4b60-90cc-26f1f9041222.jpeg?versionId=PZljErj1_QqUODhqdPPpxawYtnZLUldn&bust=1731011853&width=300,Click Here
