NAME,City,State,Postal Code,Age,Breed,Image URL,Access URL,Location,Coordinate,lat,lng,Shelter
Buster,Los Angeles,CA,90067,Adult,Pit Bull Terrier,https://dbw3zep4prcju.cloudfront.net/animal/6007abef-44c5-4f78-91b9-de4657ae3229/image/740942b0-2ffb-47cd-a386-58b35ab3ce00.jpg?versionId=a_qefqBSE8CcnseZpeU9mlpE8sq1wP0T&bust=1731164898&width=300,Click Here,"999 Main street, Los Angeles, CA, 90067","(33.991801, -118.473835)",33.991801,-118.473835,Los Angeles Rescue
Abby,Los Angeles,CA,90067,Adult,American Staffordshire Terrier,https://dbw3zep4prcju.cloudfront.net/animal/d71203fd-8b4a-4d17-b3ed-76d1062e93a1/image/4d8304a4-0664-41a7-aaf3-78723a3c450c.jpeg?versionId=OTYSd6nNvHnQBZ.ilTdzujeZ7F9up0iW&bust=1731085389&width=300,Click Here,"999 Main street, Los Angeles, CA, 90067","(33.991801, -118.473835)",33.991801,-118.473835,Los Angeles Rescue
Lenni,Los Angeles,CA,90031,Young,German Shepherd Dog Mix,https://dbw3zep4prcju.cloudfront.net/animal/c999474a-35bb-405d-adbd-8ee5c316f8bb/image/8f169274-17be-49df-8766-51e6bfb3cbdf.jpg?versionId=YvH1P5jnU3zPHIFiUNWMg_s9mVA5DQJA&bust=1732685826&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Hanna,Los Angeles,CA,90031,Young,German Shepherd Dog Mix,https://dbw3zep4prcju.cloudfront.net/animal/b6029bc2-85d8-486a-9e40-8ca171d736f8/image/1e4f9954-c4d9-4495-a771-376b40453e4d.jpg?versionId=deZ319A3P3ExtJM7Z6TcJzbKEcFbVjlM&bust=1732161950&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Tucan,Los Angeles,CA,90031,Young,Pit Bull Terrier Mix,https://dbw3zep4prcju.cloudfront.net/animal/a52fa979-26d7-419b-ba35-27299ce73993/image/25227546-3d20-44a0-863c-2809df996816.jpg?versionId=W5O54dVwYk13ssnOM5_hw94EgYWc_DcN&bust=1725584511&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Gaga,Los Angeles,CA,90031,Adult,Siberian Husky,https://dbw3zep4prcju.cloudfront.net/animal/c3f9fca4-a6a7-4418-9831-77d4237ad0da/image/811b1be7-93dc-421c-b7b4-31e299392fed.jpg?versionId=JnWxGwWxRQeo82lkKRN0jlswrMfJ3GEC&bust=1731273166&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Shannon,Los Angeles,CA,90031,Young,Mixed Breed,https://dbw3zep4prcju.cloudfront.net/animal/775bbe6f-72ca-40ff-85e0-a26ddb407239/image/d277f551-39a0-48a0-b7e5-7c0be01380df.jpg?versionId=tgtol_lBVe1ty6T0qEORzzO_yvSd_D1b&bust=1731271806&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Watson,Los Angeles,CA,90031,Young,Pit Bull Terrier,https://dbw3zep4prcju.cloudfront.net/animal/c4618273-5a5e-42fe-8df7-c4e714e4a204/image/d9f5740f-2d59-47eb-9587-e0232910094c.jpg?versionId=6QFKIheZm5bbEjR8EFlXCUPVyiMBSD6n&bust=1731268461&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Zara,Los Angeles,CA,90031,Young,Chihuahua,https://dbw3zep4prcju.cloudfront.net/animal/6ecb7270-0252-4f2b-8847-bf00f0228cdd/image/791beb37-8957-4b43-82ed-a0c9b2b132e3.jpg?versionId=.9pktuTMHs87bx_qAr717qRuWBR9B0gj&bust=1731262353&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
Ellie,Los Angeles,CA,90031,Young,American Staffordshire Terrier,https://dbw3zep4prcju.cloudfront.net/animal/7b45a371-4311-46e1-95c4-d69738fe16a3/image/d29f14e3-dfe2-436e-8f4e-2fa5434b5e5b.jpg?versionId=KKRSOSl55SH0sOtbwWsLx8ZA1mSt.yng&bust=1731257763&width=300,Click Here,"3201 Lacy Street, Los Angeles, CA, 90031","(34.08370692586621, -118.21807957472903)",34.08370692586621,-118.21807957472903,City of Los Angeles North Central Animal Shelter
