name,vicinity,Coordinate
Beverly Wood Retirement Home,"9014 Hargis St, Los Angeles","(34.03590533333333, -118.38939926262626)"
Solheim Senior Community,"2236 Merton Ave, Los Angeles","(34.137887, -118.2157429090909)"
San Dimas Retirement,"834 Arrow Hwy, San Dimas","(34.1061437, -117.8301172)"
Gardena Retirement Center,"14741 Vermont Ave, Gardena","(33.897667, -118.292075)"
Grandview Retirement Center,"2211 W 6th St, Los Angeles","(34.060236653061224, -118.27621593877551)"
Hollywood Hills Senior Living,"1745 N Gramercy Pl, Los Angeles","(34.102513, -118.312356)"
South Bay Retirement Residence,"1001 W Cressey St, Compton","(33.904277, -118.242531)"
Downey Retirement Center,"11500 Dolan Ave, Downey","(33.93637545, -118.13309737261497)"
St John of God Retirement & Care Center,"2468 S St Andrews Pl, Los Angeles","(34.03335495918367, -118.31119044897959)"
Arcadia Retirement Village,"607 W Duarte Rd, Arcadia","(34.12656371929825, -118.05208766666667)"
Arcadian Retirement Center,"753 W Duarte Rd, Arcadia","(34.125856285714285, -118.05698092857143)"
Golden Manor Retirement Center,"1109 W Beverly Blvd, Montebello","(34.01798196850378, -118.11042511722306)"
The Watermark at Westwood Village,"947 Tiverton Ave, Los Angeles","(34.0625784, -118.44306733723654)"
Fairwinds - West Hills,"8138 Woodlake Ave, West Hills","(34.1935926, -118.6315156)"
Sunshine Retirement Home Villa Park,"17846 Tacoma Cir, Villa Park","(33.805329464059504, -117.82121819222452)"
Evergreen Retirement Residence,"225 Evergreen St, Burbank","(34.152607058452425, -118.34537645870478)"
Kingsley Manor,"1055 N Kingsley Dr, Los Angeles","(34.08997048780488, -118.3033617804878)"
VILLA SCALABRINI Retirement Center & Special Care Unit,"10631 Vinedale St, Sun Valley","(34.222413, -118.3746978)"
Claremont Place,"120 W San Jose Ave, Claremont","(34.083089333333334, -117.71529833333334)"
Palos Verdes Villa,"29661 S Western Ave, Rancho Palos Verdes","(33.74841333660571, -118.3095130743196)"
Arcadia Gardens Retirement Hotel,"720 W Camino Real Ave, Arcadia","(34.122038555555555, -118.05570059259259)"
The Palms La Mirada Senior Living,"13001 La Mirada Blvd, La Mirada","(33.91290799409792, -118.0119908328362)"
Town & Country,"555 E Memory Ln, Santa Ana","(33.77393345, -117.86264635165071)"
