name,place_id,rating,types,vicinity,geometry_location_lat,geometry_location_lng,plus_code_compound_code,phone_number,opening_time,closing_time
Beverly Wood Retirement Home,ChIJDUJkj365woARcuzk1m7_Lyk,5.0,"['general_contractor', 'point_of_interest', 'health', 'establishment']","9014 Hargis St, Los Angeles",34.0358728,-118.3896444,"2JP6+84 Los Angeles, California, USA",(310) 739-6178,N/A,N/A
Solheim Senior Community,ChIJf_cFvWfBwoARTew3slsyQUU,4.4,"['church', 'place_of_worship', 'point_of_interest', 'health', 'establishment']","2236 Merton Ave, Los Angeles",34.1377016,-118.2156862,"4QQM+3P Los Angeles, California, USA",(323) 257-7518,8:30 AM,5:00 PM
San Dimas Retirement,ChIJeakOyDYvw4ARDxczw9HQpak,3.3,"['point_of_interest', 'health', 'establishment']","834 Arrow Hwy, San Dimas",34.1060562,-117.8238677,"454G+CF San Dimas, California, USA",(909) 599-8441,N/A,N/A
Gardena Retirement Center,ChIJLac58XvKwoARg0EJLHaJdZ8,3.7,"['point_of_interest', 'health', 'establishment']","14741 Vermont Ave, Gardena",33.8972908,-118.2922031,"VPW5+W4 Gardena, California, USA",(310) 327-4091,N/A,N/A
Grandview Retirement Center,ChIJxdmnTnXHwoARjF1ml_xR_2o,4.2,"['point_of_interest', 'health', 'establishment']","2211 W 6th St, Los Angeles",34.0606697,-118.2765527,"3P6F+79 Los Angeles, California, USA",(213) 380-7000,N/A,N/A
Hollywood Hills Senior Living,ChIJa17aakW_woAR726JxoBtZhU,4.5,"['point_of_interest', 'health', 'establishment']","1745 N Gramercy Pl, Los Angeles",34.1031545,-118.3126997,"4M3P+6W Los Angeles, California, USA",(323) 645-2770,N/A,N/A
South Bay Retirement Residence,ChIJ-bNqJajLwoARjpy_lCyqgtg,4.7,"['point_of_interest', 'health', 'establishment']","1001 W Cressey St, Compton",33.9045564,-118.2429686,"WQ34+RR Compton, California, USA",(310) 609-0110,N/A,N/A
Downey Retirement Center,ChIJ0dnLK5_NwoARoUyzegtXtQM,3.6,"['point_of_interest', 'health', 'establishment']","11500 Dolan Ave, Downey",33.9364897,-118.1330399,"WVP8+HQ Downey, California, USA",(562) 869-2416,N/A,N/A
St John of God Retirement & Care Center,ChIJV5hOh224woARYQ5ziiB4jZw,4.3,"['point_of_interest', 'health', 'establishment']","2468 S St Andrews Pl, Los Angeles",34.0334475,-118.311066,"2MMQ+9H Los Angeles, California, USA",(323) 731-0641,9:00 AM,8:00 PM
Arcadia Retirement Village,ChIJPZ3l7LrbwoARcQXNMPm7WOw,4.4,"['point_of_interest', 'health', 'establishment']","607 W Duarte Rd, Arcadia",34.126774,-118.0517802,"4WGX+V7 Arcadia, California, USA",(626) 447-6070,N/A,N/A
Arcadian Retirement Center,ChIJIz1mpKXbwoARWLHke0qduuo,4.6,"['point_of_interest', 'health', 'establishment']","753 W Duarte Rd, Arcadia",34.1259389,-118.057077,"4WGV+C5 Arcadia, California, USA",(626) 445-7981,N/A,N/A
Golden Manor Retirement Center,ChIJ6wJDF9XRwoARRocghGKIXNs,4.3,"['point_of_interest', 'health', 'establishment']","1109 W Beverly Blvd, Montebello",34.0179015,-118.1101033,"2V9Q+2W Montebello, California, USA",(323) 724-3870,N/A,N/A
The Watermark at Westwood Village,ChIJ39xTT2a9woAR-CLEpeIU0Kk,4.9,"['point_of_interest', 'health', 'establishment']","947 Tiverton Ave, Los Angeles",34.0627716,-118.4432562,"3H74+4M Los Angeles, California, USA",(310) 208-4590,N/A,N/A
Fairwinds - West Hills,ChIJ97h52ACdwoAR-L1dZVAC5l4,4.5,"['point_of_interest', 'health', 'establishment']","8138 Woodlake Ave, West Hills",34.2185261,-118.63141,"6999+CC West Hills, Los Angeles, CA, USA",(818) 713-0900,N/A,N/A
Sunshine Retirement Home Villa Park,ChIJNdjA9KjQ3IARDNciWlJoIXw,0.0,"['point_of_interest', 'health', 'establishment']","17846 Tacoma Cir, Villa Park",33.8052704,-117.8209698,"R54H+3J Villa Park, California, USA",(714) 532-6885,8:00 AM,5:00 PM
Evergreen Retirement Residence,ChIJm5iqNM2_woARiAL_0puGbDA,4.5,"['point_of_interest', 'health', 'establishment']","225 Evergreen St, Burbank",34.1531274,-118.3460565,"5M33+7H Burbank, California, USA",(818) 843-8268,6:00 AM,10:00 PM
Kingsley Manor,ChIJM8ywxqu4woARTc_QFj0uj6M,4.5,"['point_of_interest', 'health', 'establishment']","1055 N Kingsley Dr, Los Angeles",34.0898344,-118.3034601,"3MQW+WJ Los Angeles, California, USA",(323) 661-1128,N/A,N/A
VILLA SCALABRINI Retirement Center & Special Care Unit,ChIJS_7yiG6UwoAR8yLBG_YILN0,4.1,"['point_of_interest', 'health', 'establishment']","10631 Vinedale St, Sun Valley",34.2297447,-118.3629217,"6JHP+WR Sun Valley, Los Angeles, CA, USA",(818) 768-6500,9:00 AM,4:00 PM
Claremont Place,ChIJEX3H5vIxw4ARPSXaEvCe8FU,4.5,"['point_of_interest', 'health', 'establishment']","120 W San Jose Ave, Claremont",34.082916,-117.7153892,"37JM+XR Claremont, California, USA",(909) 480-8616,N/A,N/A
Palos Verdes Villa,ChIJA_TrI-ZJ3YARAgb5M11NJAA,4.9,"['point_of_interest', 'health', 'establishment']","29661 S Western Ave, Rancho Palos Verdes",33.746891,-118.310717,"PMWQ+QP Rancho Palos Verdes, California, USA",(310) 547-9941,N/A,N/A
Arcadia Gardens Retirement Hotel,ChIJky3VRq7bwoARTuXOjxIEJAw,4.0,"['point_of_interest', 'health', 'establishment']","720 W Camino Real Ave, Arcadia",34.1217613,-118.0560913,"4WCV+PH Arcadia, California, USA",(626) 574-8571,9:00 AM,5:00 PM
The Palms La Mirada Senior Living,ChIJ1eV5tlYr3YAR8c7rICWsvHQ,4.4,"['point_of_interest', 'health', 'establishment']","13001 La Mirada Blvd, La Mirada",33.9135589,-118.0130279,"WX7P+CQ La Mirada, California, USA",(562) 944-1800,9:00 AM,6:00 PM
Town & Country,ChIJDWYHp8fZ3IARdH0ErqJK42Q,3.7,"['point_of_interest', 'health', 'establishment']","555 E Memory Ln, Santa Ana",33.7741981,-117.8615896,"Q4FQ+M9 Santa Ana, California, USA",(714) 547-7581,8:00 AM,5:00 PM
MPS Retirement Homes,ChIJtQ7yVIky3YARGCfJ1kqavTw,1.0,"['point_of_interest', 'health', 'establishment']","5404 Pearce Ave, Lakewood",33.855063,-118.1296871,"VV4C+25 Lakewood, California, USA",(562) 804-7304,N/A,N/A
Sakura Gardens of Los Angeles,ChIJreKQZRDGwoARkkEIV46xx8I,4.7,"['point_of_interest', 'health', 'establishment']","325 S Boyle Ave, Los Angeles",34.0444936,-118.2199732,"2QVJ+Q2 Los Angeles, California, USA",(323) 827-8582,N/A,N/A
Rowntree Gardens,ChIJ6bckp-0o3YARvmnSsJ2sQJM,4.3,"['point_of_interest', 'health', 'establishment']","12151 Dale St, Stanton",33.7860078,-117.9844305,"Q2P8+C6 Stanton, California, USA",(714) 530-9100,9:00 AM,5:00 PM
