name,vicinity,Coordinate
Sixth Avenue Elementary School,"3109 6th Ave, Los Angeles","(34.02661689999999, -118.32419435)"
Mar Vista Elementary School,"3330 Granville Ave, Los Angeles","(34.01620473363737, -118.43513071732175)"
Dyer Street Elementary School,"14500 Dyer St, Sylmar","(34.29959, -118.4489021)"
99th Street Elementary School,"9900 Wadsworth Ave, Los Angeles","(33.94703681818182, -118.25852751515151)"
Ninety-Sixth Street Elementary School,"1471 E 96th St, Los Angeles","(33.949145083333335, -118.24857791666666)"
Los Angeles Elementary School,"1211 S Hobart Blvd, Los Angeles","(34.04875057142857, -118.30532059183675)"
Pacoima Charter School,"11016 Norris Ave, Pacoima","(34.26988359302326, -118.41581525581395)"
61st Street Elementary School,"6020 S Figueroa St, Los Angeles","(33.984836102040816, -118.282565)"
Short Avenue Elementary School,"12814 Maxella Ave, Los Angeles","(33.99107071428571, -118.43246142857143)"
New Horizon School,"651 Orange Grove Blvd, Pasadena","(34.15471300688127, -118.15636593131887)"
South Shores Elementary School,"2060 W 35th St, San Pedro","(33.7124424, -118.29137005000001)"
Valley School,"15700 Sherman Way, Van Nuys","(34.2012104, -118.4524004)"
153rd St Elementary School,"1605 W 153rd St, Gardena","(33.89294183673469, -118.3049849387755)"
Montvue Elementary School,"1440 San Bernardino Ave, Pomona","(34.075956, -117.72245298529411)"
Hayden Elementary School,"14782 Eden St, Midway City","(33.74770815, -117.97520996082395)"
Arnold Elementary School,"4100 W 227th St, Torrance","(33.82133845, -118.35610008123814)"
Bobbie Smith Elementary School,"565 E Hill St, Long Beach","(33.797197, -118.185949)"
Rosemont Avenue Elementary School,"421 Rosemont Ave, Los Angeles","(34.0717845, -118.27021074225762)"
Frank Del Olmo Elementary School,"100 N New Hampshire Ave, Los Angeles","(34.072852, -118.292847)"
Garfield Elementary School,"850 Brown St, Santa Ana","(33.7488328, -117.859809749813)"
