name,place_id,rating,types,vicinity,plus_code_compound_code,phone_number
"Valley School,ChIJTbEWN1uXwoARzkJf3DKroas,4.4,""['primary_school', 'school', 'point_of_interest', 'establishment']"",""15700 Sherman Way, Van Nuys"",""6G2F+9V Van Nuys, Los Angeles, CA"",(818) 786-4720"
"South Shores Elementary School,ChIJJ6rKkcpJ3YARjjPw2szl8lk,5.0,""['primary_school', 'school', 'point_of_interest', 'establishment']"",""2060 W 35th St, San Pedro"",""PMFH+34 San Pedro, Los Angeles, CA"",(310) 832-6596"
"61st Street Elementary School,ChIJ61MNKzfIwoARcTpOuAU6jFc,4.7,""['primary_school', 'school', 'point_of_interest', 'establishment']"",""6020 S Figueroa St, Los Angeles"",""XPM9+P3 Los Angeles, California"",(323) 759-1138"
"North Valley Christian School,ChIJXY-wOaOQwoARLddVe4PbqSM,5.0,""['secondary_school', 'primary_school', 'school', 'point_of_interest', 'establishment']"",""8854 Haskell Ave, North Hills"",""6GJF+HR North Hills, Los Angeles, CA"",(818) 894-3213"
"The Wesley School,ChIJP4ZzTfaVwoARVcr6VOwSmQM,4.0,""['school', 'primary_school', 'point_of_interest', 'establishment']"",""4832 Tujunga Ave, North Hollywood"",""5J5C+GR North Hollywood, Los Angeles, CA"",(818) 508-4542"
"Pacoima Charter School,ChIJf6syUXWRwoARm2U_HMrlk3A,4.3,""['primary_school', 'school', 'point_of_interest', 'establishment']"",""11016 Norris Ave, Pacoima"",""7HCM+4P Pacoima, Los Angeles, CA"",(818) 899-0201"
"Short Avenue Elementary School,ChIJqzCnNHu6woAR7CP5R_SCLBk,4.3,""['primary_school', 'school', 'point_of_interest', 'establishment']"",""12814 Maxella Ave, Los Angeles"",""XHR9+26 Los Angeles, California"",(310) 397-4234"
"99th Street Elementary School,ChIJMQRHWYHJwoARYLpMIf2jbz8,4.1,""['primary_school', 'school', 'point_of_interest', 'establishment']"",""9900 Wadsworth Ave, Los Angeles"",""WPWR+GM Los Angeles, California"",(323) 564-2677"
"Sixth Avenue Elementary School,ChIJv7gV7T-4woARQUoRYaHrY-s,3.8,""['primary_school', 'school', 'point_of_interest', 'establishment']"",""3109 6th Ave, Los Angeles"",""2MGG+M8 Los Angeles, California"",(323) 733-9107"
"Van Ness Avenue Elementary School,ChIJib33qLC4woAR_qjA6gCJwfk,4.1,""['primary_school', 'school', 'point_of_interest', 'establishment']"",""501 N Van Ness Ave, Los Angeles"",""3MJM+4F Los Angeles, California"",(323) 469-0992"
"Country Springs Elementary School,ChIJK-Wic0Qtw4AR7fjfKPZgZDU,4.9,""['primary_school', 'school', 'point_of_interest', 'establishment']"",""14145 Village Center Dr, Chino Hills"",""X6WW+MH Chino Hills, California"",(909) 590-8212"
"Montvue Elementary School,ChIJQfqrXvYxw4ARv28LB7SA95E,4.3,""['primary_school', 'school', 'point_of_interest', 'establishment']"",""1440 San Bernardino Ave, Pomona"",""37GH+79 Pomona, California"",(909) 397-4655"
"Mar Vista Elementary School,ChIJR2ahDFS6woARlpfVyJpYhQg,4.8,""['primary_school', 'school', 'point_of_interest', 'establishment']"",""3330 Granville Ave, Los Angeles"",""2H88+C7 Los Angeles, California"",(310) 391-1175"
"School,ChIJqW79RgDJwoARXgBCCp4lU4o,0.0,""['school', 'point_of_interest', 'establishment']"",""1000 W Century Blvd, Los Angeles"",""WPW5+35 Los Angeles, California"","
"Los Angeles Elementary School,ChIJhQZBHHy4woARHdQ9JpxAsgk,3.4,""['primary_school', 'school', 'point_of_interest', 'establishment']"",""1211 S Hobart Blvd, Los Angeles"",""2MXV+3P Los Angeles, California"",(323) 734-8233"
"NEW Academy Canoga Park,ChIJQXMmg2ucwoARia0E3U5tPps,4.7,""['primary_school', 'school', 'point_of_interest', 'establishment']"",""21425 Cohasset St, Canoga Park"",""6C42+RM Canoga Park, Los Angeles, CA"",(818) 710-2640"
"153rd St Elementary School,ChIJG8WHB4S1woARkQXElZ8pDs8,4.5,""['primary_school', 'school', 'point_of_interest', 'establishment']"",""1605 W 153rd St, Gardena"",""VMVV+9M Gardena, California"",(310) 323-1029"
"Rosemont Avenue Elementary School,ChIJY4tD9xHHwoARkHFI_xGpbWg,4.6,""['primary_school', 'school', 'point_of_interest', 'establishment']"",""421 Rosemont Ave, Los Angeles"",""3PCJ+W2 Los Angeles, California"",(213) 413-5310"
"New Los Angeles Charter Elementary School,ChIJz5kSVLa5woAR4s_i_ri2Jgw,0.0,""['primary_school', 'school', 'point_of_interest', 'establishment']"",""5753 Obama Blvd, Los Angeles"",""2JCH+RG Los Angeles, California"",(323) 556-9500"
"Ninety-Sixth Street Elementary School,ChIJjW_6P3nJwoARROy0oU87O1Y,3.8,""['primary_school', 'school', 'point_of_interest', 'establishment']"",""1471 E 96th St, Los Angeles"",""WQX2+XR Los Angeles, California"",(323) 567-8871"
